StateFIPS,PUMA,CongressionalDistrict,StateAbbreviaiton,PUMA2k,Population2016,PUMAWgt,CDWgt
1,2300,1,AL,102300,223616.002,1,0.316
1,2400,1,AL,102400,208563,1,0.295
1,2500,2,AL,102500,115294.026,1,0.169
1,2600,2,AL,102600,153285.974,1,0.224
2,101,0,AK,200101,135433.32,1,0.183
2,102,0,AK,200102,162758.68,1,0.219
2,200,0,AK,200200,162871,1,0.22
2,300,0,AK,200300,176323.9,1,0.238
2,400,0,AK,200400,104506.361,1,0.141
4,101,4,AZ,400101,24669.098,0.154,0.033
4,101,8,AZ,400101,135996.28,0.846,0.172
4,102,8,AZ,400102,162520.59,1,0.206
4,103,4,AZ,400103,87.814,0,0
4,103,6,AZ,400103,144275.261,0.553,0.183
4,103,8,AZ,400103,116622.707,0.447,0.148
4,104,6,AZ,400104,225987.966,1,0.286
4,105,4,AZ,400105,138.946,0.001,0
4,105,6,AZ,400105,187520.936,0.963,0.238
4,105,8,AZ,400105,7102.939,0.036,0.009
4,106,4,AZ,400106,1247.183,0.011,0.002
4,106,6,AZ,400106,77350.899,0.695,0.098
